ISO,Country,Access to Drinking Water,Access to Sanitation,Industrial Pollution,Agricultural Pollution,Water Scarcity,Water Management,Total,PPP, 2030 GDP , 2030 Population ,2030 Water Demand (m3)
ECU,Ecuador," $276,499,197 "," $254,446,688 "," $31,910,293 "," $719,316,607 "," $867,382,366 "," $429,911,030 "," $2,579,466,182 ",0.54," $209,660,173,843 ",1.62E+07,1.33E+10
EGY,Egypt," $1,277,799,363 "," $2,117,732,721 "," $1,072,443,996 "," $718,109 "," $2,564,772,525 "," $1,406,693,343 "," $8,440,160,056 ",0.33," $1,258,053,296,380 ",1.01E+08,8.51E+10
SLV,El Salvador," $237,731,148 "," $208,228,508 "," $106,229,518 "," $65,251,104 "," $188,554,746 "," $161,199,005 "," $967,194,028 ",0.49," $65,150,690,067 ",6.61E+06,1.51E+09
GNQ,Equatorial Guinea," $69,402,743 "," $75,766,556 "," $1,155,952 "," $60,189,120 ", $-   ," $41,302,874 "," $247,817,246 ",0.38," $40,629,177,607 ",1.24E+06,6.03E+07
ERI,Eritrea," $42,699,632 "," $364,613,829 "," $190,313 "," $275,968,650 "," $26,697,132 "," $142,033,911 "," $852,203,467 ",0.35," $6,522,349,616 ",7.76E+06,5.59E+08
EST,Estonia," $11,229,316 "," $6,302,556 "," $5,525,244 "," $3,648,811 "," $389,813,424 "," $83,303,870 "," $499,823,222 ",0.60," $45,424,065,614 ",1.36E+06,1.71E+09
ETH,Ethiopia," $928,780,234 "," $7,041,080,883 "," $58,860,000 "," $171,123,172 "," $159,940,810 "," $1,671,957,020 "," $10,031,742,119 ",0.40," $307,227,483,571 ",1.17E+08,6.90E+09
FIN,Finland," $39,298,310 "," $32,696,956 "," $38,369,910 "," $35,621,019 "," $485,278,527 "," $126,252,945 "," $757,517,667 ",1.01," $247,743,765,383 ",5.81E+06,1.92E+09
FRA,France," $709,318,713 "," $724,035,510 "," $1,724,338,082 "," $757,448,912 "," $10,432,725,368 "," $2,869,573,317 "," $17,217,439,902 ",0.90," $2,678,800,060,020 ",7.11E+07,3.53E+10
GAB,Gabon," $59,772,016 "," $139,075,870 "," $6,558,975 "," $162,210,959 ", $-   ," $73,523,564 "," $441,141,384 ",0.42," $40,415,203,123 ",1.91E+06,1.78E+08
GMB,Gambia," $23,736,124 "," $51,141,694 "," $41,780,731 "," $7,466,726 "," $20,499,423 "," $28,924,939 "," $173,549,636 ",0.27," $12,733,115,251 ",3.13E+06,3.31E+08
GEO,Georgia," $16,795,721 "," $49,201,636 "," $37,625,690 "," $25,407,662 "," $112,232,132 "," $48,252,568 "," $289,515,408 ",0.39," $55,212,460,445 ",3.74E+06,1.70E+09
DEU,Germany," $333,726,400 "," $477,607,110 ", $-   ," $202,913,036 "," $2,898,887,676 "," $782,626,845 "," $4,695,761,067 ",0.86," $3,547,375,073,880 ",8.13E+07,2.86E+10
GHA,Ghana," $793,783,133 "," $1,658,862,119 "," $256,446,568 "," $21,470,836 "," $68,779,692 "," $559,868,470 "," $3,359,210,818 ",0.32," $158,681,796,567 ",3.38E+07,2.63E+09
GRC,Greece," $65,244,055 "," $115,453,909 "," $22,843,164 "," $156,122,692 "," $904,879,905 "," $252,908,745 "," $1,517,452,471 ",0.68," $352,261,183,264 ",1.10E+07,8.62E+09
GTM,Guatemala," $255,126,080 "," $467,571,517 "," $1,287,475,509 "," $612,337,799 "," $1,417,265,174 "," $807,955,216 "," $4,847,731,295 ",0.51," $146,434,153,503 ",1.85E+07,8.82E+09
GIN,Guinea," $265,277,189 "," $160,336,652 "," $18,835,596 "," $309,742,966 "," $104,869,350 "," $171,812,350 "," $1,030,874,103 ",0.39," $76,447,764,958 ",1.23E+07,2.33E+09
GNB,Guinea Bissau," $43,190,255 "," $26,583,783 "," $4,048,086 "," $46,546,218 "," $27,651,840 "," $29,604,036 "," $177,624,218 ",0.38," $5,521,450,950 ",2.00E+06,5.70E+08
GUY,Guyana," $9,821,923 "," $5,582,003 "," $5,563,071 "," $302,301,007 "," $4,664,327 "," $65,586,466 "," $393,518,798 ",0.55," $5,738,648,230 ",7.41E+05,7.53E+08
HTI,Haiti," $188,420,055 "," $134,828,320 "," $49,782,385 "," $83,454,817 "," $143,760,964 "," $120,049,308 "," $720,295,850 ",0.46," $34,181,393,914 ",1.01E+07,1.80E+09
HND,Honduras," $292,422,128 "," $294,767,513 "," $950,261,183 "," $149,506,234 "," $506,364,076 "," $438,664,227 "," $2,631,985,361 ",0.51," $61,207,884,002 ",9.16E+06,3.41E+09
